symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",17.55,3724e5,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg,NASDAQ
TACO,"Del Taco Restaurants, Inc.",13.01,50319e4,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco,NASDAQ
TACOW,"Del Taco Restaurants, Inc.",3.4618,NA,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow,NASDAQ
DMPI,"DelMar Pharmaceuticals, Inc.",1.37,2959e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dmpi,NASDAQ
DELT,Delta Technology Holdings Limited,1.54,1549e4,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/delt,NASDAQ
DNLI,Denali Therapeutics Inc.,21.15,186e7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dnli,NASDAQ
DENN,Denny&#39;s Corporation,15.28,99752e4,NA,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/denn,NASDAQ
XRAY,DENTSPLY SIRONA Inc.,62.81,1443e7,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray,NASDAQ
DEPO,"Depomed, Inc.",7.96,50159e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/depo,NASDAQ
DERM,"Dermira, Inc.",30.29,126e7,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm,NASDAQ
DEST,Destination Maternity Corporation,2.55,3725e4,NA,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dest,NASDAQ
DXLG,"Destination XL Group, Inc.",2.65,129020000.00000001,NA,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dxlg,NASDAQ
DSWL,"Deswell Industries, Inc.",2.71,4305e4,1995,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/dswl,NASDAQ
DTRM,"Determine, Inc.",1.86,2754e4,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm,NASDAQ
DXCM,"DexCom, Inc.",58.82,511e7,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxcm,NASDAQ
DHXM,DHX Media Ltd.,3.7802,12696e4,NA,NA,NA,http://www.nasdaq.com/symbol/dhxm,NASDAQ
DHIL,"Diamond Hill Investment Group, Inc.",213.74,74152e4,NA,Finance,Investment Managers,http://www.nasdaq.com/symbol/dhil,NASDAQ
FANG,"Diamondback Energy, Inc.",126.85,1245e7,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang,NASDAQ
DCIX,Diana Containerships Inc.,2.96,224e4,NA,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dcix,NASDAQ
