symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
EEI,"Ecology and Environment, Inc.",10.95,471e5,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei,NASDAQ
ESES,"Eco-Stim Energy Solutions, Inc.",1.42,10585e4,NA,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses,NASDAQ
EDAP,EDAP TMS S.A.,2.91,836e5,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap,NASDAQ
EDGE,"Edge Therapeutics, Inc.",9.41,29039e4,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge,NASDAQ
EDGW,"Edgewater Technology, Inc.",6.2,869e5,NA,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw,NASDAQ
EDIT,"Editas Medicine, Inc.",25,105e7,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit,NASDAQ
EDUC,Educational Development Corporation,16.75,685e5,NA,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ,NASDAQ
EGAN,eGain Corporation,4.7,12799e4,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan,NASDAQ
EGLT,Egalet Corporation,1.22,525e5,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt,NASDAQ
EHTH,"eHealth, Inc.",17.79,33129e4,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth,NASDAQ
EIGR,"Eiger BioPharmaceuticals, Inc.",12,1262e5,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/eigr,NASDAQ
EKSO,"Ekso Bionics Holdings, Inc.",2.28,13658e4,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ekso,NASDAQ
LOCO,"El Pollo Loco Holdings, Inc.",10.2,39426e4,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco,NASDAQ
EMITF,Elbit Imaging Ltd.,2.74,2518e4,NA,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf,NASDAQ
ESLT,Elbit Systems Ltd.,132.68,567e7,NA,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt,NASDAQ
ERI,"Eldorado Resorts, Inc.",32.15,247e7,NA,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri,NASDAQ
