symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
IDT,IDT Corporation,10.54,261829999.99999997,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/idt,NYSE
ITW,Illinois Tool Works Inc.,165.17,5659e7,NA,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw,NYSE
IMAX,Imax Corporation,25,162e7,NA,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/imax,NYSE
ICD,"Independence Contract Drilling, Inc.",3.56,13521e4,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/icd,NYSE
IHC,Independence Holding Company,28.3,4206e5,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/ihc,NYSE
IRT,"Independence Realty Trust, Inc.",10.22,85356e4,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irt,NYSE
IFN,"India Fund, Inc. (The)",27.5,7811e5,NA,NA,NA,http://www.nasdaq.com/symbol/ifn,NYSE
IBA,"Industrias Bachoco, S.A. de C.V.",59.58,298e7,1997,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/iba,NYSE
INFY,Infosys Limited,16.06,3689e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/infy,NYSE
HIFR,"InfraREIT, Inc.",20.39,89302e4,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hifr,NYSE
ING,"ING Group, N.V.",18.18,7064e7,1997,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ing,NYSE
ISF,"ING Group, N.V.",25.72,NA,NA,Finance,Commercial Banks,http://www.nasdaq.com/symbol/isf,NYSE
ISG,"ING Group, N.V.",26.07,NA,NA,Finance,Commercial Banks,http://www.nasdaq.com/symbol/isg,NYSE
IR,Ingersoll-Rand plc (Ireland),86.75,2168e7,NA,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ir,NYSE
NGVT,Ingevity Corporation,70.56,297e7,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ngvt,NYSE
INGR,Ingredion Incorporated,141.12,1014e7,NA,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ingr,NYSE
IIPR,"Innovative Industrial Properties, Inc.",24.8,8743e4,2016,Finance,Real Estate,http://www.nasdaq.com/symbol/iipr,NYSE
IIPR^A,"Innovative Industrial Properties, Inc.",26,NA,NA,NA,NA,http://www.nasdaq.com/symbol/iipr^a,NYSE
IPHI,Inphi Corporation,37.64,16e8,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/iphi,NYSE
INSI,Insight Select Income Fund,20.4,21848e4,NA,NA,NA,http://www.nasdaq.com/symbol/insi,NYSE
NSP,"Insperity, Inc.",116.5,243e7,NA,Technology,Professional Services,http://www.nasdaq.com/symbol/nsp,NYSE
IBP,"Installed Building Products, Inc.",72.85,232e7,2014,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/ibp,NYSE
INST,"Instructure, Inc.",34.15,103e7,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/inst,NYSE
ITGR,Integer Holdings Corporation,45.8,145e7,NA,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itgr,NYSE
I,Intelsat S.A.,3.47,41293e4,2013,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/i,NYSE
ICE,Intercontinental Exchange Inc.,70.49,4124e7,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice,NYSE
IHG,Intercontinental Hotels Group,61.07,116e8,NA,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/ihg,NYSE
IFF,"Internationa Flavors & Fragrances, Inc.",154.17,1218e7,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/iff,NYSE
IBM,International Business Machines Corporation,152.5,14118e7,NA,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm,NYSE
IGT,International Game Technology,26.67,54e8,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/igt,NYSE
IP,International Paper Company,56.25,2323e7,NA,Basic Industries,Paper,http://www.nasdaq.com/symbol/ip,NYSE
INSW,"International Seaways, Inc.",17.85,51925e4,2016,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/insw,NYSE
IPG,"Interpublic Group of Companies, Inc. (The)",20.46,795e7,NA,Technology,Advertising,http://www.nasdaq.com/symbol/ipg,NYSE
IPL^D,Interstate Power and Light Company,25.28,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ipl^d,NYSE
INXN,InterXion Holding N.V.,58.46,417e7,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/inxn,NYSE
IPI,"Intrepid Potash, Inc",3.74,48908e4,2008,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/ipi,NYSE
XON,Intrexon Corporation,12.64,153e7,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/xon,NYSE
IVC,Invacare Corporation,17.4,57135e4,NA,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ivc,NYSE
