symbol,name,exchange
BTB.UN,BTB Real Estate Investment Trust,TSX
BUI,Buhler Industries Inc.,TSX
BU,Burcon Nutrascience Corporation,TSX
BU.RT,Burcon Nutrascience Corporation,TSX
BK,Canadian Banc Corp.,TSX
BK.PR.A,Canadian Banc Corp.,TSX
BCB,Cott Corporation,TSX
BXF,First Asset 1-5 Year Laddered Government Strip Bond Index ETF,TSX
BCI,New Look Vision Group Inc.,TSX
BKL.C,PowerShares Senior Loan Index ETF,TSX
BKL.F,PowerShares Senior Loan Index ETF,TSX
BKL.U,PowerShares Senior Loan Index ETF,TSX
BNC,Purpose Canadian Financial Income Fund,TSX
BND,Purpose Tactical Investment Grade Bond Fund,TSX
CAE,CAE Inc.,TSX
CWL,Caldwell Partners International Inc. (The),TSX
UDA.UN,Caldwell U.S. Dividend Advantage Fund,TSX
CAL,Caledonia Mining Corporation Plc,TSX
CFW,Calfrac Well Services Ltd.,TSX
CGY,Calian Group Ltd.,TSX
CBL,Callidus Capital Corporation,TSX
CCO,Cameco Corporation,TSX
CGAC.UN,Canaccord Genuity Acquisition Corp.,TSX
CF,Canaccord Genuity Group Inc.,TSX
CF.PR.A,Canaccord Genuity Group Inc.,TSX
CF.PR.C,Canaccord Genuity Group Inc.,TSX
CNE,Canacol Energy Ltd.,TSX
GOOS,Canada Goose Holdings Inc.,TSX
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,TSX
CCI.UN,Canadian Convertibles Plus Fund,TSX
CCX,Canadian Crude Oil Index ETF,TSX
CGI,"Canadian General Investments, Limited",TSX
CGI.PR.D,"Canadian General Investments, Limited",TSX
CIQ.UN,Canadian High Income Equity Fund,TSX
CM,Canadian Imperial Bank Of Commerce,TSX
CM.PR.O,Canadian Imperial Bank Of Commerce,TSX
CM.PR.P,Canadian Imperial Bank Of Commerce,TSX
CM.PR.Q,Canadian Imperial Bank Of Commerce,TSX
CM.PR.R,Canadian Imperial Bank Of Commerce,TSX
CM.PR.S,Canadian Imperial Bank Of Commerce,TSX
LFE,Canadian Life Companies Split Corp.,TSX
LFE.PR.B,Canadian Life Companies Split Corp.,TSX
CNR,Canadian National Railway Company,TSX
GAS,Canadian Natural Gas Index ETF,TSX
CNQ,Canadian Natural Resources Limited,TSX
CP,Canadian Pacific Railway Limited,TSX
PFT.UN,Canadian Preferred Share Trust,TSX
REF.UN,Canadian Real Estate Investment Trust,TSX
RTU.UN,Canadian Resources Income Trust,TSX
CTC,"Canadian Tire Corporation, Limited",TSX
CTC.A,"Canadian Tire Corporation, Limited",TSX
UTE.UN,Canadian Utilities & Telecom Income Fund,TSX
CU,Canadian Utilities Limited,TSX
CU.PR.C,Canadian Utilities Limited,TSX
CU.PR.D,Canadian Utilities Limited,TSX
CU.PR.E,Canadian Utilities Limited,TSX
CU.PR.F,Canadian Utilities Limited,TSX
CU.PR.G,Canadian Utilities Limited,TSX
CU.PR.H,Canadian Utilities Limited,TSX
CU.PR.I,Canadian Utilities Limited,TSX
CU.X,Canadian Utilities Limited,TSX
CWB,Canadian Western Bank,TSX
CWB.PR.B,Canadian Western Bank,TSX
CWB.PR.C,Canadian Western Bank,TSX
CWF,Canadian World Fund Limited,TSX
CZN,Canadian Zinc Corporation,TSX
CCM,Canarc Resource Corp.,TSX
DNT,Candente Copper Corp.,TSX
CFP,Canfor Corporation,TSX
CFX,Canfor Pulp Products Inc.,TSX
ICE,Canlan Ice Sports Corp.,TSX
CMED,CanniMed Therapeutics Inc.,TSX
EIT.PR.A,Canoe EIT Income Fund,TSX
EIT.UN,Canoe EIT Income Fund,TSX
WEED,Canopy Growth Corporation,TSX
PBY.UN,Canso Credit Income Fund,TSX
SCW.UN,Canso Select Opportunities Fund,TSX
CWX,CanWel Building Materials Group Ltd.,TSX
CPX,Capital Power Corporation,TSX
CPX.PR.A,Capital Power Corporation,TSX
CPX.PR.C,Capital Power Corporation,TSX
