name,symbol,market_cap,earnings_date,fiscal_quarter,consensus_eps,number_ests,last_year_earnings_date,last_year_eps,earnings_type
"Five Prime Therapeutics, Inc.",FPRX,56559e4,2018-02-22,Dec 2017,-1.29,4,2017-02-23,-0.73,estimated
Frank's International N.V.,FI,143e7,2018-02-22,Dec 2017,-0.11,5,2017-02-23,-0.18,estimated
"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",PAC,566e7,2018-02-22,Dec 2017,NA,0,2017-02-23,1.07,estimated
"H&E Equipment Services, Inc.",HEES,133e7,2018-02-22,Dec 2017,0.42,2,2017-02-23,0.35,estimated
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,106e7,2018-02-22,Dec 2017,0.27,3,2017-02-23,0.23,estimated
"Heron Therapeutics, Inc.",HRTX,138e7,2018-02-22,Dec 2017,-0.78,7,2017-02-23,-1.22,estimated
Hewlett Packard Enterprise Company,HPE,248e8,2018-02-22,Jan 2018,0.23,8,2017-02-23,0.45,estimated
"HFF, Inc.",HF,176e7,2018-02-22,Dec 2017,0.85,1,2017-02-23,0.7,estimated
Huron Consulting Group Inc.,HURN,88739e4,2018-02-22,Dec 2017,0.74,3,2017-02-23,0.58,estimated
"Insmed, Inc.",INSM,2009999999.9999998,2018-02-22,Dec 2017,-0.67,5,2017-02-23,-1.1,estimated
Kadant Inc,KAI,104e7,2018-02-22,Dec 2017,1.08,2,2017-02-23,0.69,estimated
Koppers Holdings Inc.,KOP,84019e4,2018-02-22,Dec 2017,0.46,2,2017-02-23,0.4,estimated
La Jolla Pharmaceutical Company,LJPC,86743e4,2018-02-22,Dec 2017,-1.25,5,2017-02-23,-1.44,estimated
Ladder Capital Corp,LADR,161e7,2018-02-22,Dec 2017,0.4,1,2017-02-23,0.32,estimated
"Lawson Products, Inc.",LAWS,19865e4,2018-02-22,Dec 2017,0.16,2,2017-02-23,-0.34,estimated
Leaf Group Ltd.,LFGR,1636e5,2018-02-22,Dec 2017,-0.27,1,2017-02-23,-0.26,estimated
"Live Nation Entertainment, Inc.",LYV,914e7,2018-02-22,Dec 2017,-1.05,8,2017-02-23,-0.58,estimated
Marriot Vacations Worldwide Corporation,VAC,374e7,2018-02-22,Dec 2017,1.16,4,2017-02-23,1.83,estimated
"MasTec, Inc.",MTZ,431e7,2018-02-22,Dec 2017,0.33,7,2017-02-23,0.68,estimated
Maxar Technologies Ltd.,MAXR,331e7,2018-02-22,Dec 2017,1.1,3,NA,1.17,estimated
"MiMedx Group, Inc",MDXG,182e7,2018-02-22,Dec 2017,0.11,1,2017-02-23,0.05,estimated
